,"#{""t_start"": 1599484190.993248"," ""env_id"": null}"
r,l,t
-2291.249791,3000,19.552511
-296.42312,3000,42.906139
-173.167923,3000,61.096141
-179.186064,3000,84.183693
-158.990824,3000,102.155106
-137.357369,3000,125.094423
-122.686882,3000,148.223983
-116.874334,3000,166.076579
-90.89627,3000,188.426888
-87.542579,3000,206.333585
-104.054978,3000,229.221261
-127.091208,3000,252.480053
-135.525366,3000,271.052752
-157.660673,3000,294.127619
-256.356521,3000,312.262841
-110.358007,3000,335.032342
-116.806496,3000,357.278093
-163.19101,3000,374.830489
-107.714243,3000,397.944044
-78.266461,3000,416.411683
-58.926636,3000,439.338376
-60.657914,3000,462.632927
-67.096974,3000,480.982349
-67.321089,3000,503.615373
-61.297647,3000,520.709313
-59.868468,3000,543.808681
-90.001576,3000,566.18531
-73.450364,3000,584.063349
-70.293296,3000,606.138278
-69.383579,3000,623.774781
-148.02427,3000,645.572921
-127.310711,3000,668.038118
-160.356439,3000,685.535235
-106.846367,3000,707.27479
-101.435364,3000,724.417984
-61.059505,3000,747.225583
-71.510784,3000,770.26995
-62.471586,3000,789.32178
-64.981624,3000,812.875569
-62.572242,3000,831.763222
-60.352738,3000,855.411908
-65.307203,3000,877.986769
-68.26407,3000,895.537641
-76.469927,3000,917.627474
-73.126125,3000,935.456983
-75.339205,3000,957.57208
-65.193606,3000,980.46013
-191.739096,3000,999.148345
-70.212415,3000,1022.02445
-80.61118,3000,1040.88454
-65.888731,3000,1065.210233
-209.317475,3000,1089.445954
-74.110419,3000,1107.080037
-92.22555,3000,1129.799156
-78.004265,3000,1147.165484
-77.610099,3000,1169.861017
-93.531208,3000,1193.559417
-406.911031,3000,1212.372079
-67.952615,3000,1236.252935
-70.127282,3000,1255.085046
-65.470903,3000,1278.168949
-73.943375,3000,1301.289677
-90.837472,3000,1319.960247
-91.300173,3000,1343.395327
-120.451208,3000,1361.282815
-83.871245,3000,1385.38316
-82.892112,3000,1408.123958
-102.886011,3000,1425.742012
-65.485447,3000,1448.296982
-64.224937,3000,1467.299433
-74.945039,3000,1490.26444
-72.905309,3000,1512.796672
-331.797907,3000,1530.995216
-102.500545,3000,1554.687614
-113.456446,3000,1573.059831
-332.520079,3000,1596.578201
-144.33874,3000,1620.569328
-123.745642,3000,1639.107944
-273.846466,3000,1663.182904
-164.315562,3000,1682.21689
-199.886986,3000,1707.308501
-146.302801,3000,1730.849566
-148.193272,3000,1748.656707
-96.242014,3000,1771.349097
-156.964275,3000,1790.493584
-186.784666,3000,1814.928802
-100.653135,3000,1838.708362
-99.762355,3000,1857.662305
-103.843144,3000,1881.203641
-115.858308,3000,1899.944051
-98.652228,3000,1923.071828
-94.452992,3000,1944.88232
-108.978381,3000,1961.895156
-77.136605,3000,4109.60912
-75.519762,3000,4129.839777
-79.027291,3000,4151.194454
-151.325563,3000,4171.996591
-169.236765,3000,4188.095617
-264.501698,3000,4208.646815
-158.78651,3000,4224.752896
-80.04722,3000,4245.326341
-106.477173,3000,4265.989065
-96.166882,3000,4282.259696
-141.458172,3000,4302.980901
-161.609709,3000,4319.392562
-76.608339,3000,4340.258503
-73.295063,3000,4361.430221
-75.930833,3000,4377.840278
-101.316481,3000,4398.548037
-88.878316,3000,4414.82252
-119.233225,3000,4435.546983
-260.473306,3000,4458.719868
-129.352923,3000,4474.959079
-169.254091,3000,4495.801671
-169.536593,3000,4627.64611
-101.236064,3000,4650.82392
-83.514815,3000,4672.323698
-84.138733,3000,4688.714136
-70.658227,3000,4709.339448
-67.431136,3000,4725.613813
-67.996885,3000,4746.239082
-112.101031,3000,4766.901218
-70.942547,3000,4783.163177
-88.8837,3000,4804.012899
-112.655204,3000,4820.583036
-92.941171,3000,4841.22869
-81.751696,3000,4861.901607
-113.29491,3000,4878.130669
-75.1999,3000,4898.753142
-257.494463,3000,4914.992435
-141.816553,3000,4935.653815
-109.210607,3000,4956.342852
-128.055307,3000,4972.716641
-126.24857,3000,4993.402965
-145.956911,3000,8449.361101
-166.985954,3000,8471.979749
-113.368256,3000,8494.931648
-120.610347,3000,8511.569967
-140.486968,3000,8532.52921
-113.32681,3000,8548.79321
-118.799346,3000,8569.428355
-125.375798,3000,8590.175416
-87.777829,3000,8606.442838
-115.416895,3000,8627.108804
-129.510559,3000,8643.460553
-143.136572,3000,8664.672744
-153.884077,3000,8685.465663
-97.867229,3000,8701.752275
-91.978802,3000,8722.467961
-282.66642,3000,8738.732164
-101.832098,3000,8782.156824
-102.639291,3000,8802.985533
-126.064744,3000,8819.259836
-147.849091,3000,8840.039993
-158.034342,3000,8856.331027
-171.910748,3000,8877.135842
-184.381137,3000,8897.911664
-133.39693,3000,8914.539462
-168.952565,3000,8935.366748
-144.652866,3000,8951.750541
-174.072024,3000,8972.579618
-165.279782,3000,8993.34051
-145.548504,3000,9009.666084
-270.754232,3000,9030.494706
-151.159831,3000,9046.815259
-159.004138,3000,9067.711158
