,"#{""t_start"": 1599476174.873707"," ""env_id"": null}"
r,l,t
-2741.698696,3000,17.918792
-2465.460717,3000,40.643198
-2368.884517,3000,58.776893
-2627.81695,3000,83.107768
-439.326559,3000,102.486213
-2704.777149,3000,127.302984
-1120.927254,3000,150.538148
-1149.686802,3000,170.431869
-251.600475,3000,195.975679
-536.223395,3000,216.276417
-157.54134,3000,241.417072
-193.711878,3000,264.089464
-488.641552,3000,283.677628
-142.04497,3000,304.906842
-99.364625,3000,324.121671
-185.396026,3000,346.621602
-519.99082,3000,371.35075
-160.367089,3000,389.843106
-343.382225,3000,414.271349
-237.225399,3000,434.139102
-459.872717,3000,458.412633
-232.318406,3000,482.808502
-132.269562,3000,502.629241
-183.912825,3000,525.784905
-435.930239,3000,542.326212
-383.169543,3000,562.911543
-235.423166,3000,585.61058
-255.731003,3000,606.389791
-173.112526,3000,627.207505
-327.713223,3000,643.433681
-2180.260112,3000,664.065851
-2298.166465,3000,684.692893
-174.134383,3000,700.843827
-159.825114,3000,721.50008
-247.67709,3000,737.688445
-172.837563,3000,758.552505
-123.38214,3000,779.341431
-168.120116,3000,795.510109
-101.053842,3000,816.232183
-2456.27321,3000,832.438654
-1574.142092,3000,853.091719
-87.965338,3000,873.799696
-156.420621,3000,889.976433
-198.909212,3000,910.886612
-89.60678,3000,928.157572
-190.512742,3000,949.971823
-567.11678,3000,971.499154
-323.898009,3000,987.674942
-1052.085375,3000,1008.711011
-127.144199,3000,1025.263482
-622.793271,3000,1046.25822
-142.124965,3000,1067.536646
-1534.645706,3000,1084.343287
-565.065183,3000,1105.423538
-2227.388512,3000,1121.985024
-2143.074108,3000,1143.026571
-589.494683,3000,1164.085529
-306.495013,3000,1180.744843
-345.728752,3000,1201.846917
-516.456935,3000,1218.490051
-264.684706,3000,1239.579867
-1179.574906,3000,1262.900874
-1144.915167,3000,1279.489107
-826.456329,3000,1300.836518
-169.100826,3000,1317.94372
-323.75424,3000,1339.238767
-407.534448,3000,1360.498997
-331.398326,3000,1377.147192
-1001.931622,3000,1398.364712
-416.329609,3000,1415.088608
-287.35352,3000,1436.252911
-240.310698,3000,1457.433228
-518.24422,3000,1474.121171
-130.531588,3000,1495.339402
-187.438643,3000,1512.006385
-280.323297,3000,1533.291206
-173.315743,3000,1554.023258
-427.684048,3000,1570.052577
-163.56765,3000,1590.53434
-813.198933,3000,1606.577807
-211.655405,3000,1627.062497
-185.087914,3000,1647.555544
-210.742072,3000,1663.598841
-102.492035,3000,1684.13306
-89.310438,3000,1700.144832
-123.776773,3000,1720.663656
-189.366825,3000,1741.124266
-223.515533,3000,1757.103947
-224.564239,3000,1777.64425
-2939.544396,3000,1793.65788
-149.68389,3000,1814.245858
-194.026385,3000,1834.712142
-139.588528,3000,1850.698994
-161.202781,3000,1871.60044
-92.939352,3000,1888.323169
-89.542822,3000,1910.288074
-164.616219,3000,1930.94092
-115.00912,3000,1947.08726
-86.434743,3000,1967.860253
-75.68214,3000,1984.152602
