,"#{""t_start"": 1599854281.899092"," ""env_id"": null}"
r,l,t
-176.204067,200,3.44338
-192.952517,200,5.312076
-164.743377,200,6.798017
-170.956426,200,8.161424
-180.551885,200,9.411366
-180.475255,200,10.650845
-171.804981,200,11.885172
-188.588085,200,13.207243
-170.935655,200,14.557659
-170.955752,200,15.751644
-176.947212,200,17.24076
-188.294448,200,18.563234
-182.17314,200,19.999477
-174.431436,200,21.266769
-185.207013,200,22.641768
-179.684299,200,23.879221
-189.023693,200,25.301173
-181.95849,200,26.526195
-180.407463,200,27.741138
-178.631018,200,28.997218
-175.334471,200,30.200205
-178.524612,200,31.402238
-174.658389,200,32.60728
-178.011846,200,33.808658
-177.486869,200,35.048977
-180.561681,200,36.180244
-177.981289,200,37.229067
-178.793042,200,38.288879
-179.552057,200,39.534506
-174.224551,200,40.868541
-178.953258,200,42.097187
-191.847087,200,43.355757
-194.650281,200,44.588739
-191.854913,200,45.800894
-163.75158,200,47.000113
-163.180658,200,48.23779
-151.213655,200,49.285884
-156.137278,200,50.329838
-167.392648,200,51.375772
-183.171267,200,52.516588
-169.883625,200,53.605801
-149.683051,200,54.661321
-179.471134,200,55.710955
-168.997298,200,56.768902
-140.154603,200,57.831776
-132.797948,200,58.856197
-136.567361,200,59.887176
-140.075122,200,60.916369
-131.877341,200,61.951939
-151.008421,200,62.977455
-142.449744,200,64.034988
-134.436415,200,65.06373
-158.991973,200,66.101639
-137.496706,200,67.121859
-128.627151,200,68.142588
-157.697605,200,69.162669
-132.195884,200,70.222577
-144.419644,200,71.245373
-113.71639,200,72.267631
-137.47433,200,73.302336
-121.260418,200,74.319189
-126.358429,200,75.359875
-130.052996,200,76.376153
-162.724341,200,77.413447
-183.060672,200,78.460094
-162.716225,200,79.500454
-178.476333,200,80.5194
-162.767608,200,81.556383
-158.606274,200,82.576178
-144.395479,200,83.611749
-133.481513,200,84.62907
-158.202969,200,85.663325
-161.131623,200,86.682665
-118.046673,200,87.720195
-158.142336,200,88.74318
-156.191261,200,89.799147
-146.769679,200,90.825357
-123.177438,200,91.871668
-163.208401,200,92.892949
-148.547026,200,93.942356
-112.88265,200,94.961547
-175.394106,200,95.998726
-134.381672,200,97.025916
-177.365981,200,98.07358
-172.081402,200,99.1026
-121.154771,200,100.142994
-128.027231,200,101.165956
-129.56398,200,102.234715
-158.212407,200,103.642759
-164.130659,200,104.869642
-176.618686,200,106.109753
-162.686798,200,107.433263
-160.021631,200,108.641349
-160.858164,200,109.842855
-170.748522,200,111.052382
-184.396112,200,112.257977
-177.529351,200,113.466016
-165.545061,200,114.671622
-158.182318,200,115.876705
-158.427833,200,117.073636
-170.090421,200,118.299368
-164.368052,200,119.491395
-151.650463,200,120.68097
-139.834226,200,121.870669
-151.863792,200,123.087087
-148.241085,200,124.285755
-174.969767,200,125.499719
-146.542648,200,126.698372
-158.673693,200,127.906061
-131.938953,200,129.095089
-137.602256,200,130.290486
-140.501757,200,131.483799
-141.227435,200,132.696135
-156.064729,200,133.887971
-157.18661,200,135.078912
-163.001832,200,136.287378
-160.287912,200,137.478654
-144.869143,200,138.68823
-155.688405,200,139.895519
-140.804948,200,141.09076
-132.262962,200,142.282205
-139.558661,200,143.476672
-164.883206,200,144.682609
-150.20121,200,145.872788
-152.20478,200,147.080222
-122.928804,200,148.292114
-153.893808,200,149.484931
-170.322952,200,150.675326
-151.681907,200,151.870149
-168.155335,200,153.06172
-145.701684,200,154.277459
-136.337576,200,155.484679
-158.917998,200,156.676063
-127.190681,200,157.869206
-128.708337,200,159.052463
-132.47007,200,160.243462
-123.392596,200,161.456729
-117.115029,200,162.657439
