,"#{""t_start"": 1599470007.659073"," ""env_id"": null}"
r,l,t
-2733.702569,3000,18.259235
-1023.542434,3000,39.600332
-1285.44219,3000,56.29581
-466.04226,3000,78.824413
-126.393506,3000,97.652612
-138.186479,3000,118.551625
-156.822338,3000,139.384777
-111.456103,3000,155.722066
-86.111017,3000,176.763419
-84.17351,3000,193.338533
-84.295302,3000,214.506523
-97.801139,3000,235.678931
-102.136654,3000,252.187744
-117.120149,3000,273.257386
-98.188957,3000,289.874808
-104.240916,3000,311.27827
-108.478321,3000,332.855649
-102.849509,3000,349.731752
-66.59484,3000,371.049063
-51.136359,3000,387.619764
-84.322872,3000,408.750897
-96.803895,3000,429.910612
-30.679309,3000,447.575172
-27.302002,3000,469.318431
-28.853787,3000,485.996359
-25.133787,3000,507.294465
-21.232015,3000,528.651916
-23.335826,3000,545.322817
-216.700536,3000,566.851897
-2871.042346,3000,583.748035
-2676.871256,3000,605.153174
-2811.580778,3000,626.889039
-2676.368591,3000,643.700082
-2842.871688,3000,664.902329
-1528.832389,3000,681.827148
-1595.355709,3000,703.235202
-978.063065,3000,724.772112
-2223.725314,3000,741.677027
-1955.26777,3000,763.265714
-597.660845,3000,780.245699
-535.253616,3000,801.830502
-767.140875,3000,823.23938
-528.214955,3000,840.084362
-146.376571,3000,861.508218
-174.33891,3000,878.338937
-429.770207,3000,899.427657
-405.250036,3000,920.341309
-440.816086,3000,937.418934
-236.679342,3000,959.111534
-398.560142,3000,976.795363
-562.270028,3000,998.517717
-661.601714,3000,1021.180465
-2664.624299,3000,1038.870412
-2038.230492,3000,1060.290584
-1265.1514,3000,1076.767278
-1362.909491,3000,1097.547773
-456.460986,3000,1118.456439
-501.457525,3000,1134.844355
-282.621277,3000,1155.513968
-191.19142,3000,1171.738473
-138.320567,3000,1192.491811
-131.439385,3000,1213.20925
-122.428386,3000,1229.568081
-164.892722,3000,1250.333817
-150.174487,3000,1266.58215
-147.978104,3000,1287.282581
