,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_lr,params_net_arch,params_train_freq,state
37,37,1068.8434707620388,2020-10-20 00:03:17.280489,2020-10-20 00:35:51.221495,0 days 00:32:33.941006000,256,50000,0.0005907709210111187,small,50,COMPLETE
38,38,1746.6970321250662,2020-10-20 00:35:51.222819,2020-10-20 01:22:02.246044,0 days 00:46:11.023225000,512,50000,0.0009423295226551612,small,50,COMPLETE
39,39,1457.9655770225154,2020-10-20 01:22:02.247256,2020-10-20 02:08:19.163726,0 days 00:46:16.916470000,512,50000,0.0009444878037123752,small,50,COMPLETE
40,40,841.6344183767886,2020-10-20 02:08:19.164816,2020-10-20 02:54:23.543586,0 days 00:46:04.378770000,512,1000000,0.0005849507801025595,small,50,COMPLETE
41,41,1182.2965396524917,2020-10-20 02:54:23.545064,2020-10-20 03:52:01.723375,0 days 00:57:38.178311000,512,50000,0.0004389111610061764,big,100,COMPLETE
42,42,1467.3169441893751,2020-10-20 03:52:01.723914,2020-10-20 04:39:00.261155,0 days 00:46:58.537241000,512,50000,0.0007724351517955203,small,50,COMPLETE
43,43,1754.213645985349,2020-10-20 04:39:00.263167,2020-10-20 05:26:06.113387,0 days 00:47:05.850220000,512,50000,0.0017628844953421691,small,100,COMPLETE
44,44,721.2292542333626,2020-10-20 05:26:06.114935,2020-10-20 06:12:18.515052,0 days 00:46:12.400117000,512,50000,0.00010217998043844348,small,50,COMPLETE
45,45,874.7680266071612,2020-10-20 06:12:18.517430,2020-10-20 07:10:50.947392,0 days 00:58:32.429962000,512,50000,0.0003347827747869552,big,50,COMPLETE
46,46,820.0334393662356,2020-10-20 07:10:50.947939,2020-10-20 08:01:46.192555,0 days 00:50:55.244616000,512,1000000,0.00011721938478468228,medium,1,COMPLETE
47,47,882.1387605210534,2020-10-20 08:01:46.193835,2020-10-20 08:48:30.776984,0 days 00:46:44.583149000,512,50000,0.0001428654705054439,small,100,COMPLETE
48,48,870.6488812285461,2020-10-20 08:48:30.778393,2020-10-20 09:35:01.140004,0 days 00:46:30.361611000,512,1000000,0.00120908521908081,small,50,COMPLETE
49,49,827.701050114683,2020-10-20 09:35:01.140548,2020-10-20 10:07:19.166917,0 days 00:32:18.026369000,256,50000,0.00038794377139569084,small,100,COMPLETE
