,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_lr,params_net_arch,params_train_freq,state
0,0,1387.3479505635944,2020-10-19 00:16:08.497434,2020-10-19 00:23:38.557157,0 days 00:07:30.059723,256,50000,0.0005207204007839992,medium,1,COMPLETE
1,1,1725.8769900359391,2020-10-19 00:23:38.557651,2020-10-19 00:39:51.551629,0 days 00:16:12.993978,512,50000,0.0005504160810872749,big,50,COMPLETE
2,2,1295.4127208159755,2020-10-19 00:39:51.552099,2020-10-19 00:47:59.688873,0 days 00:08:08.136774,256,50000,0.00021014066886908622,big,1,COMPLETE
3,3,1385.3591912146107,2020-10-19 00:47:59.689342,2020-10-19 00:56:07.442229,0 days 00:08:07.752887,256,1000000,0.00015457203261531665,big,1,COMPLETE
4,4,1454.3828990301076,2020-10-19 00:56:07.442704,2020-10-19 01:12:05.574388,0 days 00:15:58.131684,512,50000,0.0002886962310297663,big,100,COMPLETE
5,5,1496.6940787719843,2020-10-19 01:12:05.574858,2020-10-19 01:18:58.888199,0 days 00:06:53.313341,256,50000,0.0018504522721829407,small,1,COMPLETE
6,6,1304.638859239763,2020-10-19 01:18:58.888667,2020-10-19 01:26:19.195799,0 days 00:07:20.307132,256,1000000,0.00010018690350400423,medium,1,COMPLETE
7,7,1192.1899464871349,2020-10-19 01:26:19.196276,2020-10-19 01:33:07.232694,0 days 00:06:48.036418,256,50000,0.0002228077778717248,small,50,COMPLETE
8,8,1451.433393436192,2020-10-19 01:33:07.233165,2020-10-19 01:46:31.343088,0 days 00:13:24.109923,512,50000,0.001108567861301279,small,50,COMPLETE
9,9,1152.620267999363,2020-10-19 01:46:31.343562,2020-10-19 01:53:19.052164,0 days 00:06:47.708602,256,1000000,0.00011046742848913011,small,50,COMPLETE
10,10,1617.295891458169,2020-10-19 01:53:19.052640,2020-10-19 02:00:08.764144,0 days 00:06:49.711504,256,1000000,0.0001361594858740619,small,50,COMPLETE
11,11,1864.0675850846992,2020-10-19 02:00:08.764617,2020-10-19 02:06:59.687513,0 days 00:06:50.922896,256,1000000,0.0002817244907519136,small,50,COMPLETE
12,12,1651.1257617867973,2020-10-19 02:06:59.687988,2020-10-19 02:13:47.890163,0 days 00:06:48.202175,256,1000000,0.0001018887625729722,small,50,COMPLETE
13,13,1736.7154125926033,2020-10-19 02:13:47.890641,2020-10-19 02:20:35.778989,0 days 00:06:47.888348,256,1000000,0.00019556604286152766,small,100,COMPLETE
14,14,1238.613532053915,2020-10-19 02:20:35.779462,2020-10-19 02:27:25.366060,0 days 00:06:49.586598,256,50000,0.0003395057150975522,small,50,COMPLETE
15,15,1292.4310503749668,2020-10-19 02:27:25.366533,2020-10-19 02:34:12.818208,0 days 00:06:47.451675,256,1000000,0.00011061723004767149,small,50,COMPLETE
16,16,1475.2760128331795,2020-10-19 02:34:12.818680,2020-10-19 02:46:46.223996,0 days 00:12:33.405316,512,1000000,0.00017572164803867496,medium,50,COMPLETE
17,17,1074.5245581349493,2020-10-19 02:46:46.224473,2020-10-19 02:53:32.832378,0 days 00:06:46.607905,256,50000,0.0006727520984949816,small,100,COMPLETE
18,18,1156.1696052287373,2020-10-19 02:53:32.832852,2020-10-19 03:00:20.715781,0 days 00:06:47.882929,256,1000000,0.0008279787840015652,small,100,COMPLETE
19,19,1337.3405015707112,2020-10-19 03:00:20.716258,2020-10-19 03:07:10.814877,0 days 00:06:50.098619,256,50000,0.0007420290582549727,small,100,COMPLETE
